passer_id,passer,posteam
00-0034348,C.Sutton,DEN
00-0021314,C.Taylor,MIN
00-0034064,C.Wadman,DEN
00-0020434,C.Weinke,"CAR, SF"
00-0032950,C.Wentz,"IND, PHI"
00-0024296,C.Whitehurst,"CLE, IND, SEA, TEN"
00-0020452,C.Wilson,"PIT, SF"
00-0034418,C.Wilson,DAL
00-0000108,D.Akers,"PHI, SF"
00-0027912,D.Alexander,LAC
00-0026035,D.Amendola,"DET, HOU, MIA, NE"
00-0023645,D.Anderson,"ARI, BUF, CAR, CLE"
00-0028434,D.Baldwin,SEA
00-0001101,D.Bennett,LAC
00-0019976,D.Bennett,TEN
00-0001361,D.Bledsoe,"BUF, DAL, NE"
00-0035040,D.Blough,DET
00-0021192,D.Branch,SEA
00-0020531,D.Brees,"LAC, NO"
00-0001907,D.Brown,ARI
00-0020376,D.Brown,CAR
00-0027902,D.Bryant,DAL
00-0020608,D.Carr,"CAR, HOU, NYG, SF"
00-0031280,D.Carr,LV
00-0023534,D.Colquitt,KC
00-0003600,D.Craig,CAR
00-0003739,D.Culpepper,"DET, LV, MIA, MIN"
00-0021979,D.Davis,HOU
00-0028863,D.Davis,ATL
00-0026296,D.Dixon,PIT
00-0031076,D.Fales,"CHI, MIA, NYJ"
00-0005363,D.Flutie,"BUF, LAC, NE"
00-0021164,D.Foster,CAR
00-0021231,D.Garrard,JAX
00-0021353,D.Givens,NE
00-0019539,D.Hall,"KC, LA"
00-0035232,D.Haskins,WAS
00-0032764,D.Henry,TEN
00-0022181,D.Henson,"DAL, DET"
00-0024272,D.Hester,CHI
00-0034253,D.Hilliard,CLE
00-0035577,D.Hodges,PIT
00-0030564,D.Hopkins,HOU
00-0007835,D.Huard,"KC, MIA, NE"
00-0026189,D.Jackson,PHI
00-0031972,D.Jennings,TEN
00-0008484,D.Johnson,"ARI, TB"
00-0019087,D.Johnson,"ATL, TEN"
00-0032257,D.Johnson Jr.,CLE
00-0022684,D.Jones,LA
00-0035710,D.Jones,NYG
00-0009007,D.Kanell,"ATL, DEN"
00-0033899,D.Kizer,"CLE, GB"
00-0035689,D.Knox,BUF
00-0009829,D.Levens,PHI
00-0035704,D.Lock,DEN
00-0019242,D.Looker,LA
00-0010379,D.Marino,MIA
00-0020527,D.McAllister,NO
00-0026144,D.McFadden,"DAL, LV"
00-0011022,D.McNabb,"MIN, PHI, WAS"
00-0036898,D.Mills,HOU
00-0035685,D.Montgomery,CHI
00-0034827,D.Moore,CAR
00-0028009,D.Murray,TEN
00-0019650,D.Northcutt,CLE
00-0023578,D.Orlovsky,"DET, IND, TB"
00-0012642,D.Patten,NE
00-0012726,D.Pederson,"CLE, GB, PHI"
00-0012742,D.Pelfrey,CIN
00-0034860,D.Pettis,"NYG, SF"
00-0029688,D.Poe,KC
00-0013108,D.Pope,KC
00-0033077,D.Prescott,DAL
00-0022091,D.Ragone,HOU
00-0030547,D.Robinson,JAX
00-0035719,D.Samuel,SF
00-0014324,D.Sanders,DAL
00-0025499,D.Sepulveda,PIT
00-0015523,D.Staley,PHI
00-0025430,D.Stanton,"ARI, DET"
00-0015842,D.Stryzinski,NYJ
00-0036275,D.Swift,DET
00-0027874,D.Thomas,DEN
00-0033537,D.Watson,HOU
00-0033839,D.Westbrook,JAX
00-0018333,D.Wuerffel,"NO, WAS"
00-0021235,D.Zastudil,BAL
00-0027690,E.Decker,"DEN, TEN"
00-0031387,E.Ebron,IND
00-0033045,E.Elliott,DAL
00-0021755,E.Graham,TB
00-0006300,E.Grbac,"BAL, KC"
00-0009163,E.Kennison,KC
00-0009451,E.Kramer,LAC
00-0022803,E.Manning,NYG
00-0030526,E.Manuel,"BUF, LV"
00-0011151,E.Metcalf,WAS
00-0026182,E.Royal,DEN
00-0027685,E.Sanders,"DEN, PIT, SF"
00-0015165,E.Smith,ARI
00-0035282,E.Stick,LAC
00-0025424,E.Weddle,LAC
00-0018483,E.Zeier,TB
00-0036825,F.Franks,ATL
00-0020780,F.Jackson,CLE
00-0024204,F.Jackson,BUF
00-0020497,F.Mitchell,PHI
00-0014328,F.Sanders,ARI
00-0018343,F.Wycheck,TEN
00-0005379,G.Foley,SEA
00-0005589,G.Frerotte,"CIN, DEN, DET, LA, MIA, MIN"
00-0031395,G.Gilbert,"CAR, CLE, DAL, WAS"
00-0022112,G.Hamdan,WAS
00-0027602,G.Harrell,GB
00-0021508,G.Lewis,PHI
00-0028146,G.McElroy,NYJ
00-0035289,G.Minshew II,"JAX, PHI"
00-0030565,G.Smith,"LAC, NYG, NYJ, SEA"
00-0027891,G.Tate,"DET, NYG, SEA"
00-0033733,G.Ward,PHI
00-0024013,H.Baskett,PHI
00-0019764,H.Burris,CHI
00-0015194,H.Smith,"IND, WAS"
00-0017162,H.Ward,PIT
00-0036929,I.Book,NO
00-0002099,I.Bruce,"LA, SF"
00-0033466,I.McKenzie,BUF
00-0036142,I.Wright,WAS
00-0024245,J.Addai,IND
00-0033572,J.Agnew,DET
00-0000210,J.Allen,HOU
00-0034857,J.Allen,BUF
00-0023479,J.Arrington,ARI
00-0025427,J.Beck,"MIA, WAS"
00-0027880,J.Best,DET
00-0001215,J.Bettis,PIT
00-0001335,J.Blake,"ARI, BAL, CHI, CIN, NO, PHI"
00-0033119,J.Brissett,"IND, MIA, NE"
00-0031051,J.Brown,BUF
00-0036442,J.Burrow,CIN
00-0029143,J.Bush,NYJ
00-0032630,J.Callahan,GB
00-0023460,J.Campbell,"CHI, CIN, CLE, LV, WAS"
00-0036320,J.Charlton,CAR
00-0027659,J.Clausen,"BAL, CAR, CHI"
00-0023176,J.Cribbs,"CLE, NYJ"
00-0031941,J.Crowder,"NYJ, WAS"
00-0024226,J.Cutler,"CHI, DEN, MIA"
00-0004161,J.Delhomme,"CAR, CLE, HOU, NO"
00-0033949,J.Dobbs,PIT
00-0032436,J.Driskel,"CIN, DEN, DET"
00-0036226,J.Eason,IND
00-0027150,J.Edelman,NE
00-0033787,J.Elliott,PHI
00-0005113,J.Feagles,"NYG, SEA"
00-0005180,J.Fiedler,"JAX, MIA, NYJ"
00-0036945,J.Fields,CHI
00-0026158,J.Flacco,"BAL, DEN, NYJ"
00-0035156,J.Fox,DET
00-0026993,J.Freeman,"IND, MIN, TB"
00-0005600,J.Friesz,NE
00-0036197,J.Fromm,NYG
00-0021163,J.Gaffney,HOU
00-0005720,J.Galloway,DAL
00-0005755,J.Garcia,"CLE, DET, PHI, SF, TB"
00-0031345,J.Garoppolo,"NE, SF"
00-0005794,J.Garrett,"DAL, NYG"
00-0005885,J.George,"MIN, WAS"
00-0005902,J.Germaine,LA
00-0033106,J.Goff,"DET, LA"
00-0029664,J.Gordon,"CLE, SEA"
00-0029510,J.Grimes,HOU
00-0019579,J.Hamilton,TB
00-0006808,J.Harbaugh,LAC
00-0021141,J.Harrington,"ATL, DET, MIA"
00-0028872,J.Hekker,LA
00-0036355,J.Herbert,LAC
00-0007744,J.Horn,NO
00-0030990,J.Huff,PHI
00-0036389,J.Hurts,PHI
00-0019682,J.Jackson,DEN
00-0036322,J.Jefferson,MIN
00-0008401,J.Jett,DET
00-0026300,J.Johnson,"BAL, CLE, NYJ, TB, WAS"
00-0035290,J.Johnson,BUF
00-0009028,J.Kasay,CAR
00-0029159,J.Kearse,SEA
00-0028091,J.Kerley,NYJ
00-0009311,J.Kitna,"CIN, DAL, DET, SEA"
00-0031382,J.Landry,"CLE, MIA"
00-0009868,J.Lewis,CAR
00-0009869,J.Lewis,BAL
00-0027946,J.Locker,TEN
00-0022590,J.Lorenzen,NYG
