passer_id,passer,posteam
00-0033040,T.Hill,KC
00-0033357,T.Hill,NO
00-0029608,T.Hilton,IND
00-0035993,T.Huntley,BAL
00-0019622,T.Husak,WAS
00-0024279,T.Jackson,"MIN, SEA"
00-0019641,T.Jones,CHI
00-0030506,T.Kelce,KC
00-0035544,T.Kennedy,DET
00-0009288,T.Kirby,"CLE, LV"
00-0037012,T.Lance,SF
00-0036971,T.Lawrence,JAX
00-0027253,T.Lewis,"BUF, CLE"
00-0031543,T.Long,LAC
00-0010261,T.Maddox,PIT
00-0019633,T.Martin,LV
00-0026664,T.Masthay,GB
00-0032475,T.McEvoy,SEA
00-0035146,T.McSorley,BAL
00-0027114,T.Morstead,NO
00-0012478,T.Owens,SF
00-0024812,T.Palko,KC
00-0027801,T.Pike,CAR
00-0028825,T.Pryor,"CLE, LV"
00-0019623,T.Rattay,"ARI, SF, TB"
00-0021678,T.Romo,DAL
00-0014377,T.Sauerbrun,CAR
00-0031064,T.Savage,HOU
00-0032156,T.Siemian,"DEN, NO, NYJ"
00-0015063,T.Small,PHI
00-0025561,T.Smith,"BAL, SF"
00-0036212,T.Tagovailoa,MIA
00-0028118,"T.Taylor, Ty.Taylor","BAL, BUF, CLE, HOU, LAC"
00-0027876,T.Tebow,"DEN, NYJ"
00-0025604,T.Thigpen,"BUF, KC, MIA"
00-0016331,T.Thomas,MIA
00-0035889,T.Townsend,KC
00-0016683,T.Tupa,"NYJ, TB"
00-0030140,T.Way,WAS
00-0028090,T.Yates,"ATL, HOU"
00-0016193,V.Testaverde,"CAR, DAL, NE, NYJ"
00-0024218,V.Young,"PHI, TEN"
00-0002962,W.Chrebet,NYJ
00-0020973,W.Dantzler,ATL
00-0004640,W.Dunn,ATL
00-0035251,W.Grier,CAR
00-0024384,W.Lundy,HOU
00-0011524,W.Moon,KC
00-0022250,W.Parker,PIT
00-0030663,W.Snead,NO
00-0033891,Z.Jones,"BUF, LV"
00-0031266,Z.Mettenberger,TEN
00-0033251,Z.Pascal,IND
00-0037013,Z.Wilson,NYJ
