receiver_id,receiver,posteam
00-0028267,A.Reisner,"JAX, MIN"
00-0018588,A.Ricard,BAL
00-0031612,A.Ripkowski,GB
00-0013770,A.Rison,"KC, LV"
00-0027691,A.Roberts,"ARI, ATL, BUF, DET, HOU, NYJ, WAS"
00-0028116,A.Robinson,"ATL, MIN, SF, WAS"
00-0029281,A.Robinson,NYG
00-0031428,"A.Robinson, A.Robinson II","CHI, JAX"
00-0023443,A.Rolle,ARI
00-0014071,A.Rossum,SF
00-0028706,Ar.Smith,CLE
00-0030550,A.Sanders,JAX
00-0036999,A.Schwartz,CLE
00-0031418,A.Seferian-Jenkins,"JAX, NYJ, TB"
00-0033896,A.Shaheen,"CHI, MIA"
00-0019564,A.Shea,CLE
00-0028074,A.Sherman,"ARI, KC"
00-0015082,A.Smith,CIN
00-0015091,A.Smith,"BUF, NE, NO, TEN"
00-0023436,A.Smith,"KC, SF"
00-0026855,A.Smith,"ATL, TB"
00-0023529,A.Snyder,SF
00-0036963,A.St,DET
00-0015601,A.Stecker,"ATL, NO, TB"
00-0033916,A.Stewart,NYJ
00-0034686,A.Tate,CIN
00-0030035,A.Thielen,MIN
00-0036386,A.Thomas,NYG
00-0022621,A.Thurman,GB
00-0016485,A.Timmerman,LA
00-0016550,A.Toomer,NYG
00-0036422,A.Trautman,NO
00-0033043,A.Traylor,DEN
00-0032045,A.Turzilli,TEN
00-0016821,A.Van,PHI
00-0030648,A.Villanueva,PIT
00-0022060,A.Walker,"LA, SF"
00-0017077,A.Wallace,CAR
00-0035187,A.Walter,"NYJ, SF"
00-0035126,A.Wesley,ARI
00-0017611,A.Whitted,"JAX, LV"
00-0024270,A.Whitworth,CIN
00-0031055,A.Williams,"LAC, NYG"
00-0036188,A.Williams,BUF
00-0020505,A.Wilson,ARI
00-0030669,A.Wilson,"KC, MIA"
00-0025955,A.Young,MIN
00-0018501,A.Zereoue,"LV, NE, PIT"
00-0032482,B.Addison,CHI
00-0036261,B.Aiyuk,SF
00-0000172,B.Alford,NYG
00-0032434,B.Allen,CIN
00-0022003,B.Askew,"NYJ, TB"
00-0020274,B.Baber,"KC, TB"
00-0023679,B.Bajema,"BAL, LA, SF"
00-0027618,B.Banks,WAS
00-0000727,B.Banta,DET
