receiver_id,receiver,posteam
00-0036626,D.Brown,WAS
00-0027902,D.Bryant,"BAL, DAL"
00-0034653,D.Burnett,"NYJ, PHI"
00-0027063,D.Butler,SEA
00-0024308,D.Byrd,LA
00-0031868,D.Byrd,"ARI, CAR, CHI, NE"
00-0034406,D.Cain,"IND, PIT"
00-0027261,D.Calhoun,NYG
00-0002565,D.Campbell,"DAL, DET, NYG"
00-0020608,D.Carr,HOU
00-0031280,D.Carr,LV
00-0029119,D.Carrier,"LA, LV, SF, WAS"
00-0002709,D.Carswell,DEN
00-0022879,D.Carter,CAR
00-0028057,D.Carter,IND
00-0031763,D.Carter,"CHI, HOU, PHI, WAS"
00-0019712,D.Chapman,MIN
00-0034777,"D.Chark, D.Chark Jr.",JAX
00-0002942,D.Chiaverini,"ATL, CLE, DAL"
00-0003035,D.Clark,"CHI, DEN, MIA"
00-0022165,D.Clark,"BAL, IND, TB"
00-0025544,D.Clowney,"CAR, NYJ"
00-0024607,D.Coats,"CIN, DEN"
00-0032133,D.Cobb,TEN
00-0029068,D.Coleman,"ARI, ATL, SEA"
00-0033893,D.Cook,MIN
00-0003600,D.Craig,CAR
00-0034389,D.Cruikshank,TEN
00-0003739,D.Culpepper,MIN
00-0036456,D.Dafney,GB
00-0036425,D.Dallas,SEA
00-0033258,D.Daniels,"ARI, IND, SEA"
00-0022739,D.Darling,"BAL, KC"
00-0021979,D.Davis,HOU
00-0035101,D.Davis,HOU
00-0028307,"D.Davis, DJ.Davis",ATL
00-0033904,D.Dawkins,BUF
00-0034654,D.Dawkins,TEN
00-0027819,D.Dickerson,"BUF, DET, HOU"
00-0020550,D.Dinkins,"BAL, CLE, NO, NYG"
00-0020159,D.Dorris,NYG
00-0023806,D.Dorsey,CIN
00-0004463,D.Douglas,PHI
00-0004541,D.Driver,GB
00-0004633,D.Dunn,CLE
00-0004634,D.Dunn,"CLE, LV"
00-0036331,D.Duvernay,BAL
00-0032008,D.Dye,TB
00-0019473,D.Dyer,MIA
00-0022464,D.Easlick,MIA
00-0024044,D.Ellis,DET
00-0024389,"Del.Walker, De.Walker, D.Walker","SF, TEN"
00-0027827,D.Epps,NYJ
00-0036620,D.Eskridge,SEA
00-0027874,"De.Thomas, D.Thomas","DEN, HOU, NYJ"
00-0036297,D.Evans,TEN
00-0024242,"De.Williams, D.Williams","CAR, PIT"
00-0019543,D.Farmer,CIN
00-0023752,D.Fells,"DEN, LA, NE, NYG"
00-0029738,D.Fells,"ARI, CLE, DET, HOU"
00-0036654,D.Felton,CLE
00-0026272,D.Fine,BUF
00-0036627,D.Fitzpatrick,TEN
00-0027237,D.Fletcher,NE
00-0030711,D.Fluellen,TEN
00-0033925,D.Foreman,"HOU, TEN"
00-0021164,D.Foster,"CAR, SF"
00-0032577,D.Foster,"ARI, NE"
00-0034395,D.Fountain,IND
00-0031285,D.Freeman,"ATL, BAL, NYG"
00-0032055,D.Funchess,"CAR, IND"
00-0022102,D.Gabriel,"LV, NE"
00-0021231,D.Garrard,JAX
00-0027795,D.Gettis,CAR
00-0005932,D.Gibson,JAX
00-0020030,D.Gilliam,LAC
00-0028646,D.Gilreath,PIT
00-0021353,D.Givens,"NE, TEN"
00-0034351,D.Goedert,PHI
00-0035715,D.Gore,KC
00-0021154,D.Graham,"DEN, NE, TEN"
00-0032218,D.Green-Beckham,"PHI, TEN"
00-0006431,D.Griffin,CIN
00-0032634,D.Grinnage,JAX
00-0027157,D.Gronkowski,"DEN, DET"
00-0034358,D.Guice,WAS
00-0022701,D.Hackett,"CAR, SEA"
00-0019625,D.Haddad,IND
00-0024297,D.Hagan,"BUF, LV, MIA, NYG, TEN"
00-0019539,D.Hall,"KC, LA"
00-0022923,D.Hall,ATL
00-0022853,D.Hamilton,SF
00-0034370,D.Hamilton,DEN
00-0006930,D.Harris,LAC
00-0028114,D.Harris,"DAL, LV, NYG"
00-0028409,D.Harris,"GB, JAX, SF"
00-0030155,D.Harris,"ARI, CHI, CLE, KC"
00-0035215,D.Harris,NO
00-0035657,D.Harris,NE
00-0035848,D.Harris,IND
00-0007144,D.Hayes,"CAR, NE"
00-0035428,D.Helm,LV
00-0022929,D.Henderson,NO
00-0033581,D.Henderson,DEN
00-0035664,D.Henderson,LA
00-0032764,D.Henry,TEN
00-0029588,D.Herron,"BUF, CIN, IND"
00-0024272,D.Hester,"ATL, CHI"
00-0026983,D.Heyward-Bey,"IND, LV, PIT"
00-0021329,D.Hill,TEN
00-0034253,D.Hilliard,"CLE, TEN"
00-0024345,D.Hixon,"CAR, NYG"
00-0019338,D.Hodge,DAL
00-0030564,D.Hopkins,"ARI, HOU"
00-0007798,D.Howard,"DET, GB"
00-0007835,D.Huard,"KC, MIA"
00-0028411,D.Inman,"CHI, IND, LAC, WAS"
00-0019663,D.Jackson,"DEN, SEA, SF"
00-0026189,D.Jackson,"LA, LV, PHI, TB, WAS"
00-0032636,D.Jackson,GB
00-0033049,D.Jackson,DAL
00-0025432,D.Jarrett,CAR
00-0008329,D.Jells,PHI
00-0031972,D.Jennings,"CLE, TEN"
00-0034827,"Dj.Moore, D.Moore",CAR
00-0023797,D.Johnson,"LA, NYG"
00-0026957,D.Johnson,"LAC, PIT"
00-0029435,D.Johnson,"HOU, PHI"
00-0029778,D.Johnson,ATL
00-0030236,D.Johnson,HOU
00-0035216,D.Johnson,PIT
00-0035628,D.Johnson,CLE
00-0032257,"D.Johnson, D.Johnson Jr.","CLE, HOU, MIA"
00-0008660,D.Johnston,DAL
00-0021183,D.Jolley,"LV, NYJ, TB"
00-0008723,D.Jones,JAX
00-0027518,D.Jones,BUF
00-0028994,D.Jones,"IND, MIA"
00-0035710,D.Jones,NYG
00-0020564,D.Joyce,NYG
00-0027779,D.Karim,"HOU, JAX"
00-0036225,D.Keene,NE
00-0026170,D.Keller,NYJ
00-0029419,D.Kelly,TEN
00-0034710,D.Kidsy,WAS
00-0021973,D.Kircus,"DEN, DET"
00-0021955,D.Klecko,"IND, NE, PHI"
00-0035640,"DK.Metcalf, D.Metcalf",SEA
00-0035689,D.Knox,BUF
00-0019135,D.Kreider,"ARI, PIT"
00-0030197,D.Lacey,MIA
00-0009550,D.LaFleur,DAL
00-0032804,D.Lasco,NO
00-0021929,D.Lee,"CIN, GB, MIA"
00-0009829,D.Levens,"GB, NYG, PHI"
00-0020735,D.Lewis,"HOU, NO"
00-0028087,D.Lewis,"NE, NYG, PHI, TEN"
00-0032070,D.Lewis,BUF
00-0035704,D.Lock,DEN
00-0035665,D.Long,LA
00-0019242,D.Looker,LA
00-0010107,D.Loville,DEN
00-0019464,D.Lyman,CHI
00-0020332,D.Martin,"BUF, GB, MIA"
00-0029613,D.Martin,"LV, TB"
00-0010500,D.Mason,"BAL, HOU, NYJ, TEN"
00-0010599,D.Mayes,SEA
00-0033304,D.Mays,GB
00-0020527,D.McAllister,NO
00-0020464,D.McCants,"PHI, WAS"
00-0027651,D.McCluster,"KC, LAC, TEN"
00-0010796,D.McDonald,TB
00-0030650,D.McDonald,IND
00-0026144,D.McFadden,"DAL, LV"
00-0010951,D.McKinley,ARI
00-0011022,D.McNabb,PHI
00-0036671,D.Milne,WAS
00-0036255,D.Mims,NYJ
00-0031339,D.Moncrief,"IND, JAX, NE, PIT"
00-0035045,D.Montgomery,NYJ
00-0035685,D.Montgomery,CHI
00-0036309,D.Mooney,CHI
00-0011551,D.Moore,"BUF, TB"
00-0028086,D.Moore,LV
00-0033589,D.Moore,"DEN, SEA"
00-0022951,D.Morgan,HOU
00-0032430,D.Morgan,MIN
00-0029108,D.Moye,PIT
00-0028009,D.Murray,"DAL, PHI, TEN"
00-0027201,D.Nance,GB
00-0023576,D.Nash,"DEN, TEN"
00-0027322,D.Nelson,"BUF, NYJ"
00-0034565,D.Newsome,LAC
00-0036907,D.Newsome,CHI
00-0022100,D.Nickey,TEN
00-0033885,D.Njoku,CLE
00-0029183,D.Noble,JAX
00-0019650,D.Northcutt,"CLE, DET, JAX"
00-0028000,"Dn.Thomas, D.Thomas",MIA
00-0033854,D.Ogunbowale,"JAX, TB"
00-0019645,D.O'Neal,DEN
00-0035184,D.Ozigbo,"JAX, NO"
00-0012515,D.Palmer,MIN
00-0035329,"D.Parham, D.Parham Jr.",LAC
00-0012556,D.Parker,GB
00-0031547,D.Parker,MIA
00-0036228,D.Patmon,IND
00-0012642,D.Patten,"CLE, NE, NO, NYG, WAS"
00-0029218,D.Paulson,PIT
00-0023894,D.Penn,"LV, TB"
00-0036233,D.Peoples-Jones,CLE
00-0034860,D.Pettis,"NYG, SF"
00-0012946,D.Philyaw,NO
00-0036215,D.Pinter,IND
00-0027714,D.Pitta,BAL
00-0019508,D.Polk,BUF
00-0013122,D.Porter,BUF
00-0029673,D.Posey,HOU
00-0032656,D.Powe,NYG
00-0033077,D.Prescott,DAL
00-0029463,D.Presley,CAR
00-0030097,D.Quessenberry,TEN
00-0019146,D.Rackley,ATL
00-0022091,D.Ragone,HOU
00-0034273,D.Ratley,"CLE, NYG"
00-0031123,D.Reaves,CAR
00-0027755,D.Reed,"BAL, IND"
00-0025951,D.Reynaud,"MIN, TEN"
00-0019863,D.Rhodes,"IND, LV"
00-0029612,D.Richardson,LA
00-0023625,D.Ridgeway,NYJ
00-0013850,D.Robinson,TB
00-0030547,D.Robinson,JAX
00-0032775,D.Robinson,KC
00-0030043,D.Rogers,IND
00-0023920,D.Roland,CIN
00-0025542,D.Rosario,"CAR, CHI, DEN, LAC"
00-0035631,D.Sample,CIN
00-0028187,D.Sampson,ARI
00-0035719,D.Samuel,SF
00-0014324,D.Sanders,"BAL, DAL, WAS"
00-0021241,D.Sanders,CLE
00-0028352,D.Sanzenbacher,"CHI, CIN"
00-0026453,D.Savage,KC
00-0025609,D.Schouman,BUF
00-0034383,D.Schultz,DAL
00-0014544,D.Scott,"CIN, DAL"
00-0028159,D.Scott,NYG
00-0034256,D.Scott,NYG
00-0014775,D.Shelton,"BUF, CHI, JAX"
00-0035181,D.Shepherd,GB
00-0035359,D.Sills,NYG
00-0030422,D.Sims,"CHI, MIA"
00-0035250,D.Singletary,BUF
00-0035535,D.Slayton,NYG
00-0015048,D.Sloan,"DET, NO"
00-0032064,D.Smelter,SF
00-0015152,D.Smith,"DEN, IND"
00-0031934,D.Smith,"DAL, JAX, NYJ"
00-0033413,D.Smith,MIA
00-0036912,D.Smith,PHI
00-0034798,D.Smythe,MIA
00-0031319,D.Spencer,DEN
00-0023564,D.Sproles,"LAC, NO, PHI"
00-0019598,D.Stachelski,NO
00-0015523,D.Staley,"PHI, PIT"
00-0021147,D.Stallworth,"BAL, CLE, NE, NO, PHI, WAS"
00-0025636,D.Stanley,LA
00-0015759,D.Stone,NYJ
00-0031310,D.Street,"DAL, IND"
00-0036275,D.Swift,DET
00-0016178,D.Terrell,NO
00-0020513,D.Terrell,CHI
00-0024301,D.Thomas,"NE, NO"
00-0026174,D.Thomas,"CAR, NYG, WAS"
00-0031060,D.Thomas,KC
00-0016373,D.Thompson,"MIA, WAS"
00-0023039,D.Thompson,LA
00-0029388,D.Thompson,"BAL, BUF, CHI, DAL"
00-0035148,D.Thompson,KC
00-0030828,D.Tialavea,ATL
00-0034201,D.Turner,BAL
00-0021927,D.Tyree,NYG
00-0032794,D.Vitale,"CLE, GB"
00-0017027,D.Walker,LV
00-0024850,D.Walker,HOU
00-0031610,D.Waller,"BAL, LV"
00-0017160,D.Ward,"BAL, DAL, MIA, NE, NYJ"
00-0022770,D.Ward,"HOU, NYG, TB"
00-0024559,D.Ware,"NYG, TB"
00-0017239,D.Washington,NYG
00-0032450,D.Washington,"DET, NO"
00-0032940,D.Washington,"KC, LV, MIA"
00-0033537,D.Watson,HOU
00-0032897,D.Watt,"LAC, PIT"
00-0022751,D.Watts,DEN
00-0017421,D.Wells,PHI
00-0033839,D.Westbrook,"JAX, MIN"
00-0019660,D.White,"ATL, CHI"
00-0031511,D.White,"CAR, HOU, SF"
00-0020127,D.Wilcox,BAL
00-0024326,D.Williams,"BAL, CLE"
00-0027056,D.Williams,DET
00-0028079,D.Williams,"GB, JAX, NE"
00-0032945,D.Williams,BUF
00-0034258,D.Willies,CLE
00-0035401,D.Willis,CIN
00-0029251,D.Wilson,NYG
00-0022970,D.Wimbush,JAX
00-0026019,D.Woodhead,"BAL, LAC, NE, NYJ"
00-0025498,D.Wright,BUF
00-0029274,D.Wylie,KC
00-0025615,D.Wynn,GB
00-0034319,D.Yelder,"KC, TB"
00-0026852,D.Young,WAS
00-0024687,D.Zeigler,SF
00-0022771,E.Amano,TEN
00-0027920,E.Arceneaux,MIN
00-0000627,E.Baker,ATL
00-0029317,E.Baker,CLE
00-0036383,E.Benjamin,ARI
00-0001103,E.Bennett,CHI
00-0026210,E.Bennett,CHI
00-0020485,E.Berlin,"CHI, TEN"
00-0001222,E.Beverly,ATL
00-0031968,E.Bibbs,CLE
00-0001233,E.Bieniemy,PHI
00-0001281,E.Bjornson,"DAL, NE"
00-0027015,E.Britton,CHI
00-0024738,E.Buckley,PHI
00-0033514,E.Byrd,GB
00-0003400,E.Conwell,"LA, NO"
00-0027690,E.Decker,"DEN, NYJ, TEN"
00-0027675,E.Dickson,"BAL, CAR, SEA"
00-0026221,E.Doucet,ARI
00-0020692,E.Drummond,DET
00-0032705,E.Eagan,NYG
00-0031387,E.Ebron,"DET, IND, PIT"
00-0022385,E.Edwards,ARI
00-0033045,E.Elliott,DAL
00-0033881,E.Engram,NYG
00-0030584,E.Fisher,KC
00-0032259,E.Flowers,NYG
00-0028049,E.Gates,"MIA, NYJ"
00-0005883,E.George,"DAL, TEN"
00-0021755,E.Graham,TB
00-0006322,E.Green,IND
00-0006324,E.Green,NYJ
00-0008241,E.James,"ARI, IND, SEA"
00-0020455,E.Johnson,"NO, SF"
00-0024714,E.Jones,BAL
00-0019889,E.Joseph,JAX
00-0009163,E.Kennison,"CHI, DEN, KC, NO"
00-0019659,E.Kinney,TEN
00-0030485,E.Lacy,"GB, SEA"
00-0027844,E.Lorig,"NO, TB"
00-0010650,E.McCaffrey,"DEN, LV"
00-0020793,E.McCoo,PHI
00-0033295,E.McGuire,NYJ
00-0011151,E.Metcalf,"CAR, WAS"
00-0011328,E.Mills,DAL
00-0036567,E.Mitchell,SF
00-0026123,E.Moore,"CLE, PHI, SEA"
00-0036980,E.Moore,NYJ
00-0011770,E.Moulds,"BUF, HOU, TEN"
00-0029098,E.Page,TB
00-0020904,E.Parker,LAC
00-0032813,E.Penny,"ARI, NYG"
00-0012809,E.Perry,MIA
00-0013622,E.Rhett,"BAL, CLE"
00-0032442,E.Roberts,NE
00-0029276,E.Rodriguez,"BUF, CHI"
00-0031782,E.Rogers,PIT
00-0026182,E.Royal,"CHI, DEN, LAC"
00-0028115,E.Royster,WAS
00-0027685,E.Sanders,"BUF, DEN, NO, PIT, SF"
00-0033576,E.Saubert,"ATL, CHI, DEN, JAX"
00-0023489,E.Shelton,CAR
00-0020794,E.Shepherd,"HOU, TB"
00-0015161,E.Smith,PHI
00-0015165,E.Smith,"ARI, DAL"
00-0024312,E.Smith,NYJ
00-0034279,E.St,GB
00-0030854,E.Swoope,IND
00-0031690,E.Tomlinson,"BAL, NE, NYJ"
00-0034490,E.Turner,ARI
00-0024535,E.Weems,"ATL, CHI, TEN"
00-0022901,E.Wilford,"JAX, MIA"
00-0026947,E.Williams,SEA
00-0036080,E.Winston,NO
00-0034672,E.Wolf,NO
00-0000911,F.Baxter,"CHI, NE, NYJ"
00-0000942,F.Beasley,SF
00-0001582,F.Bownes,SEA
00-0033994,F.Brown,DEN
00-0003220,F.Coleman,NE
00-0036951,F.Darby,ATL
00-0026188,F.Davis,WAS
00-0023500,F.Gore,"BUF, IND, MIA, NYJ, SF"
00-0030154,F.Hammond,KC
00-0020780,F.Jackson,CLE
00-0024204,F.Jackson,"BUF, SEA"
00-0008749,F.Jones,"ARI, LAC"
00-0026162,F.Jones,"DAL, PIT"
00-0009599,F.Lane,CAR
00-0030737,F.Martino,"ATL, TB"
00-0010747,F.McCrary,"ATL, LAC, NE"
00-0011266,F.Miller,LA
00-0020497,F.Mitchell,PHI
00-0034981,F.Moreau,LV
00-0019487,F.Murphy,TB
00-0027769,F.Onobun,"JAX, LA"
00-0014328,F.Sanders,"ARI, BAL"
00-0026926,F.Summers,BUF
00-0036247,F.Swain,SEA
00-0016098,F.Taylor,"JAX, NE"
00-0031332,F.Toussaint,"BAL, PIT"
00-0020024,F.Wakefield,ARI
00-0029731,F.Whittaker,"CAR, CLE"
00-0018343,F.Wycheck,TEN
00-0032626,G.Allison,"DET, GB"
00-0026056,G.Banks,LAC
00-0026281,G.Barnidge,"CAR, CLE"
00-0030456,G.Bernard,"CIN, TB"
00-0035588,G.Bradbury,MIN
00-0036569,G.Brightwell,NYG
00-0001938,G.Brown,NYG
00-0001940,G.Brown,GB
00-0023408,G.Camarillo,"MIA, MIN, NO"
00-0028903,G.Celek,SF
00-0026157,G.Cherilus,DET
00-0032190,G.Christian,BUF
00-0003039,G.Clark,SF
00-0027048,G.Coffee,SF
00-0003344,G.Comella,"HOU, NYG, TB, TEN"
00-0003700,G.Crowell,DET
00-0031953,G.Davis,"LAC, NYG"
00-0036196,G.Davis,BUF
00-0004172,G.DeLong,"BAL, JAX"
00-0033474,G.Dieter,KC
00-0035500,G.Dortch,ARI
00-0034184,G.Edwards,BAL
00-0030544,G.Escobar,DAL
00-0023784,G.Estandia,"CLE, JAX"
00-0033895,G.Everett,"LA, SEA"
00-0032466,G.Fant,SEA
00-0031746,G.Farmer,SEA
00-0030899,G.Gilliam,SEA
00-0027718,G.Graham,HOU
00-0033095,G.Griffin,NO
00-0023704,G.Guenther,TEN
00-0025337,G.Harris,KC
00-0007180,G.Hearst,"DEN, SF"
00-0007436,G.Hill,DET
00-0031884,G.Holmes,ARI
00-0024174,G.Holt,CIN
00-0030865,G.Hoskins,MIA
00-0034614,G.Igwebuike,DET
00-0031367,G.Jackson,LV
00-0030370,G.Jenkins,LV
00-0024267,G.Jennings,"GB, MIA, MIN"
00-0027098,G.Johnson,"ATL, NYG"
00-0022897,G.Jones,"HOU, JAX"
00-0033288,G.Kittle,SF
00-0020479,G.Layne,ATL
00-0021508,G.Lewis,"MIN, PHI"
00-0027997,G.Little,"CIN, CLE"
00-0022613,G.Martinez,"DEN, DET"
00-0021565,G.Mattos,LAC
00-0011213,G.Milburn,CHI
00-0024321,G.Mills,"MIN, PHI"
00-0035289,G.Minshew II,JAX
00-0035908,G.Nabers,LAC
00-0025418,G.Olsen,"CAR, CHI, SEA"
00-0035645,G.Olszewski,NE
00-0021813,G.Reid,CHI
00-0035956,G.Ricci,CAR
00-0024529,G.Robinson,IND
00-0028892,G.Robinson,MIA
00-0014148,G.Ruegamer,NE
00-0024846,G.Russell,"LV, PIT"
00-0028050,G.Salas,"BUF, LA, NYJ"
00-0019468,G.Scott,PHI
00-0030565,G.Smith,NYJ
00-0032141,G.Swaim,"DAL, JAX, TEN"
00-0027891,G.Tate,"DET, NYG, PHI, SEA"
00-0033733,G.Ward,PHI
00-0029033,G.Whalen,"BAL, IND, LAC"
00-0024344,G.Whimper,JAX
00-0030247,G.Winn,DET
00-0025480,G.Wolfe,CHI
00-0021980,G.Wrighster,JAX
00-0024013,H.Baskett,"IND, MIN, PHI"
00-0036008,H.Bryant,DET
00-0036232,H.Bryant,CLE
00-0035529,H.Butler,PHI
00-0003681,H.Cross,NYG
00-0026224,H.Douglas,"ATL, TEN"
00-0020507,H.Evans,"MIA, NE, NO, SEA"
00-0019028,H.Goodman,GB
00-0006133,H.Goodwin,"MIA, MIN"
00-0006456,H.Griffith,DEN
00-0021093,H.Haygood,DEN
00-0033090,H.Henry,"LAC, NE"
00-0035025,H.Hentges,WAS
00-0034830,H.Hurst,"ATL, BAL"
00-0028492,H.Hynoski,NYG
00-0032523,H.Krieger,DEN
00-0037004,H.Long,MIA
00-0023465,H.Miller,PIT
00-0011568,H.Moore,"DET, NYG"
00-0011718,H.Morrow,MIN
00-0027005,H.Nicks,"IND, NYG"
00-0034983,H.Renfrow,LV
00-0036357,H.Ruggs,LV
00-0032839,H.Sharp,"DEN, NYG"
00-0014733,H.Shaw,NE
00-0028842,H.Smith,NYJ
00-0032508,H.Valles,"ARI, DET"
00-0017162,H.Ward,PIT
00-0028564,I.Abdul-Quddus,DET
00-0002099,I.Bruce,"LA, SF"
00-0030671,I.Burse,"DEN, LAC"
00-0002469,I.Byrd,"CAR, TEN"
00-0036308,I.Coulter,CHI
00-0030656,I.Crowell,"CLE, NYJ"
00-0033471,I.Ford,MIA
00-0032012,I.Fruechte,MIN
00-0005616,I.Fryar,WAS
00-0007468,I.Hilliard,"NYG, TB"
00-0034922,I.Hyman,TB
00-0021604,I.Idonije,CHI
00-0008763,I.Jones,IND
00-0019474,I.Kacyvenski,SEA
00-0033466,I.McKenzie,"BUF, DEN"
00-0011224,I.Mili,SEA
00-0029740,I.Momah,ARI
00-0035539,I.Nauta,DET
00-0020005,I.Ohalete,WAS
00-0029626,I.Pead,"LA, MIA"
00-0026566,I.Redman,PIT
00-0021810,I.Smart,TB
00-0015195,I.Smith,CLE
00-0034378,I.Smith,ATL
00-0034970,I.Smith,MIN
00-0036635,I.Smith-Marsette,MIN
00-0024077,I.Smolko,JAX
00-0022863,I.Sopoaga,SF
00-0025490,I.Stanback,"DAL, JAX, NE"
00-0034365,I.Thomas,CAR
00-0027915,I.Trufant,NYJ
00-0016811,I.Uwaezuoke,"CAR, DET"
00-0033449,I.Whitney,LV
00-0036142,I.Wright,WAS
00-0036100,I.Zuber,NE
00-0031021,J.Abbrederis,"DET, GB"
00-0030300,"Ja. Brown, Ja.Brown, JA.Brown, J.Brown","ARI, SEA"
00-0029271,J.Adams,CAR
00-0032429,J.Adams,NYG
00-0034457,J.Adams,"NYJ, PHI"
00-0024245,J.Addai,IND
00-0021629,J.Adkisson,LV
00-0033572,J.Agnew,"DET, JAX"
00-0031590,J.Ajayi,"MIA, PHI"
00-0025465,"Ja.Jones, J.Jones","GB, LV"
00-0034364,J.Akins,HOU
00-0035726,"Jak.Johnson, J.Johnson",NE
00-0000210,J.Allen,"CHI, HOU"
00-0022740,J.Allen,"KC, MIN"
00-0026022,J.Allen,CLE
00-0031577,J.Allen,"BAL, NYG"
00-0034857,J.Allen,BUF
00-0000242,J.Allred,"CHI, PIT"
00-0031042,J.Amaro,"NYJ, TEN"
00-0000316,J.Anderson,ATL
00-0000374,J.Andruzzi,NE
00-0035246,J.Arcega-Whiteside,PHI
00-0013512,"Ja.Reed, J.Reed","MIN, NO"
00-0000422,J.Armour,BAL
00-0023479,J.Arrington,ARI
00-0024324,J.Avant,"CAR, KC, PHI"
00-0000541,J.Avery,"DEN, MIA, MIN"
00-0034207,J.Badet,WAS
00-0028291,J.Baker,NYJ
00-0027964,J.Baldwin,"KC, SF"
00-0027259,J.Ballard,"ARI, NYG"
00-0029048,J.Banyard,MIN
00-0036628,J.Bates,WAS
00-0025701,J.Battle,"KC, LAC, TEN"
00-0021253,J.Baxter,"ARI, HOU"
00-0027218,J.Bell,DET
00-0029319,J.Bellamy,"CHI, NYJ"
00-0027880,J.Best,DET
00-0001215,J.Bettis,PIT
00-0029707,J.Blackmon,JAX
00-0025426,J.Blalock,ATL
00-0001525,J.Bostic,PHI
00-0030474,J.Boyce,NE
00-0029051,J.Boykin,GB
00-0022290,J.Bradley,DET
00-0036110,J.Bradley,CLE
00-0024202,J.Branch,NO
00-0001766,J.Brigham,LV
00-0033119,J.Brissett,IND
00-0023218,J.Bronson,ARI
00-0019423,J.Brookins,BAL
00-0025616,J.Broussard,JAX
00-0030466,J.Brown,PIT
00-0031051,"J.Brown, Jo. Brown, Jo.Brown","ARI, BAL, BUF, DEN, JAX"
00-0020917,J.Burns,BUF
00-0030691,J.Butler,"BAL, LAC"
00-0033564,J.Butt,DEN
00-0034171,J.Cabinda,DET
00-0028040,J.Cameron,"CLE, MIA"
00-0026178,J.Carlson,"ARI, MIN, SEA"
00-0020343,J.Carter,"NYG, NYJ"
00-0027109,J.Casey,"HOU, PHI"
00-0026213,J.Charles,"DEN, JAX, KC"
00-0036900,J.Chase,CIN
00-0020820,J.Chatman,"LAC, MIA, NYJ"
00-0033464,J.Chesson,"KC, WAS"
00-0024401,J.Clary,LAC
00-0026072,J.Collins,"DET, NO"
00-0027739,J.Conner,"CIN, NYG, NYJ"
00-0033553,J.Conner,"ARI, PIT"
00-0020391,J.Cook,"HOU, TB"
00-0027061,J.Cook,"GB, LA, LAC, LV, NO, TEN"
00-0028930,J.Cooper,CLE
00-0022811,J.Cotchery,"CAR, NYJ, PIT"
00-0029627,J.Crawford,TEN
00-0023176,J.Cribbs,"CLE, IND, NYJ"
00-0029702,J.Criner,LV
00-0033627,J.Croom,"BUF, PHI"
00-0031941,J.Crowder,"NYJ, WAS"
00-0027321,J.Cumberland,"LAC, NYJ"
00-0030129,J.Cunningham,IND
00-0031462,J.Cunningham,"DET, NYG"
00-0036877,J.Darden,TB
00-0019065,J.Davenport,IND
00-0004004,J.Davis,"CHI, MIN, TB"
00-0024158,J.Davis,CHI
00-0027130,J.Davis,"CLE, WAS"
00-0034499,J.Davis,NYG
00-0019461,J.Dawson,"CLE, HOU"
00-0004112,J.Dearth,NYJ
00-0036332,J.Deguara,GB
00-0029722,J.Demps,TB
00-0027925,J.Develin,NE
00-0027105,J.Dillard,JAX
00-0036158,J.Dobbins,BAL
00-0032760,J.Doctson,WAS
00-0030181,J.Doyle,IND
00-0027825,J.Dray,"ARI, CLE"
00-0023630,J.Dreessen,"DEN, HOU, NYJ"
00-0032436,J.Driskel,DET
00-0022746,J.Dugan,MIN
00-0004637,J.Dunn,KC
00-0027786,J.Dwyer,"ARI, PIT"
00-0029552,J.Ebert,JAX
00-0027150,J.Edelman,NE
00-0004836,J.Elliott,NYJ
00-0004871,J.Ellison,NE
00-0022157,J.Faine,CLE
00-0022093,J.Fargas,LV
00-0019905,J.Farris,"ATL, WAS"
00-0029883,J.Fauria,DET
00-0005110,J.Fazande,LAC
00-0019770,J.Feely,ATL
00-0026286,J.Felton,"BUF, CAR, DET, IND, MIN"
00-0020173,J.Fenderson,NO
00-0032377,J.Ferguson,IND
00-0026231,J.Finley,GB
00-0005229,J.Finn,"IND, NYG"
00-0032196,J.Fisher,CIN
00-0026158,J.Flacco,BAL
00-0027709,J.Ford,LV
00-0026373,J.Forsett,"BAL, DEN, DET, HOU, JAX, SEA"
00-0035547,J.Fortson,KC
00-0022484,J.Foschi,"CIN, LV"
00-0032130,J.Fowler,TEN
00-0030078,J.Franklin,GB
00-0034532,J.Franks,CIN
00-0021163,J.Gaffney,"DEN, HOU, MIA, NE, WAS"
00-0021982,J.Gage,"CHI, TEN"
00-0005720,J.Galloway,"DAL, NE, SEA, TB, WAS"
00-0005755,J.Garcia,SF
00-0031345,J.Garoppolo,"NE, SF"
00-0005903,J.German,"ATL, CLE"
00-0021304,J.Gilmore,"CHI, NO, TB"
00-0019134,J.Goodspeed,LA
00-0029664,J.Gordon,"CLE, KC, NE, SEA"
00-0006208,J.Graham,"GB, SEA"
00-0006210,J.Graham,LAC
00-0027696,J.Graham,"CHI, GB, NO, SEA"
00-0034788,J.Graham,ATL
00-0032791,J.Grant,"CHI, MIA"
00-0029104,J.Gray,"JAX, MIA, NE"
00-0006331,J.Green,"DET, TB, WAS"
00-0023591,J.Green,BAL
00-0027873,J.Gresham,"ARI, CIN"
00-0022011,J.Griffith,"ATL, LV, SEA"
00-0029510,J.Grimes,"HOU, NYJ"
00-0035414,J.Guyton,LAC
00-0032419,J.Haeg,TB
00-0030805,J.Hamm,SF
00-0029634,J.Hanna,DAL
00-0033770,J.Hardee,NO
00-0026181,J.Hardy,BUF
