"headshot_url","full_name","season","team_logo_espn","Plays","EPA_pct","CPOE_pct","DVOA_pct","DYAR_pct","PFF_pct","qbr_pct","sack_rate_pct","air_yards_pct","cp_pct","recv_pct","pblk_pct","pa_pct","EPA","CPOE","DVOA","DYAR","PFF","qbr_total","sack_rate","air_yards","cp","grades_recv","grades_pblk","pa","team_wordmark"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD339293.png","Aaron Rodgers","2008","https://a.espncdn.com/i/teamlogos/nfl/500/gb.png","636","71.9242902208202","86.3354037267081","63.7113402061856","65.360824742268","69.2783505154639","66.3917525773196","50.6309148264984","79.0890269151139","17.5983436853002","26.3917525773196","69.4845360824742","61.6494845360825","0.149825951666537","4.6072439620128","0.085","708","79.1","62.9","0.0556464811783961","9.12241054613936","0.609696791149103","69.7","79.3","23.75","https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/GB.png"
"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD339293.png","Aaron Rodgers","2009","https://a.espncdn.com/i/teamlogos/nfl/500/gb.png","668","90.2208201892744","80.9523809523809","80.4123711340206","81.0309278350515","89.4845360824742","82.8865979381443","86.1198738170347","83.6438923395445","23.6024844720497","30.1030927835052","44.1237113402062","13.1958762886598","0.236901715733124","3.92534483446559","0.178","1105","87.8","69.1","0.0765625","9.2639405204461","0.61373162628221","70.7","73.7","18.5625","https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/GB.png"
"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD339293.png","Aaron Rodgers","2010","https://a.espncdn.com/i/teamlogos/nfl/500/gb.png","579","91.1671924290221","93.5817805383023","89.6907216494845","88.0412371134021","90.1030927835052","84.7422680412371","49.211356466877","85.7142857142857","24.223602484472","29.0721649484536","65.1546391752577","2.06185567010309","0.240656169067541","5.85865144906887","0.268","1286","88.3","69.6","0.0547703180212014","9.34249471458774","0.61382727861276","70.4","78.3","15","https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/GB.png"
"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD339293.png","Aaron Rodgers","2011","https://a.espncdn.com/i/teamlogos/nfl/500/gb.png","626","99.6845425867508","100","99.3814432989691","99.1752577319588","97.9381443298969","99.3814432989691","55.8359621451104","78.2608695652174","18.2194616977226","78.7628865979381","61.6494845360825","49.4845360824742","0.411139868675721","8.99139064307115","0.466","2059","92.9","83.8","0.0581583198707593","9.108","0.610086093569288","80.5","77.7","22.4375","https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/GB.png"
"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD339293.png","Aaron Rodgers","2012","https://a.espncdn.com/i/teamlogos/nfl/500/gb.png","691","88.801261829653","93.3747412008282","86.5979381443299","91.340206185567","91.7525773195876","88.2474226804124","83.596214511041","40.5797101449275","50.3105590062112","61.0309278350515","55.2577319587629","35.6701030927835","0.226018837208541","5.83604784980139","0.234","1395","90.1","71.3","0.0744525547445255","8.13661202185792","0.631230599568901","76.5","76.3","21","https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/GB.png"
"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD339293.png","Aaron Rodgers","2013","https://a.espncdn.com/i/teamlogos/nfl/500/gb.png","349","97.3186119873817","93.7888198757764","88.659793814433","68.2474226804124","85.1546391752577","62.680412371134","58.8328075709779","43.6853002070393","38.0952380952381","87.2164948453608","83.9175257731959","86.3917525773196","0.316015752379042","5.87227699402786","0.254","740","85","61.6","0.0608695652173913","8.17993079584775","0.623256028646294","82.5","82.8","26.75","https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/GB.png"
"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD339293.png","Aaron Rodgers","2014","https://a.espncdn.com/i/teamlogos/nfl/500/gb.png","615","98.8958990536278","74.9482401656315","94.6391752577319","94.020618556701","98.7628865979381","95.6701030927835","29.4952681388013","39.5445134575569","49.4824016563147","82.4742268041237","98.3505154639175","42.4742268041237","0.348327900678294","3.14045054819977","0.322","1564","93.3","77.8","0.0459770114942529","8.08461538461538","0.630731416848099","81.3","92.1","21.75","https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/GB.png"
"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD339293.png","Aaron Rodgers","2015","https://a.espncdn.com/i/teamlogos/nfl/500/gb.png","735","50.1577287066246","32.0910973084886","42.680412371134","47.2164948453608","57.9381443298969","58.5567010309278","64.1955835962145","39.9585921325052","44.9275362318841","18.7628865979381","91.7525773195876","27.4226804123711","0.0775733783586912","-1.10236890944876","-0.01","406","74.7","60","0.0628415300546448","8.10683012259194","0.627364719289869","67.4","86.1","20.1875","https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/GB.png"
"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD339293.png","Aaron Rodgers","2016","https://a.espncdn.com/i/teamlogos/nfl/500/gb.png","737","93.0599369085173","77.4327122153209","82.2680412371134","87.8350515463918","92.5773195876289","89.8969072164949","33.9116719242902","65.6314699792961","46.9979296066253","57.1134020618557","99.7938144329897","67.2164948453608","0.250059468788815","3.50570591376317","0.187","1279","90.4","72.4","0.0480109739368999","8.69407894736842","0.62885022563058","76","94.1","24.25","https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/GB.png"
